sample_id,label,pred_label,prob_hallucinated,cosine_drift,mahalanobis_distance,pca_deviation,logit_lens_divergence,cross_layer_disagreement,uncertainty_ensemble,consistency_metric,attention_variance,layer_confidence_degradation,entropy_variance,attention_entropy,margin
ragtruth_12307,1,0,0.05841484792745618,0.20649997889995575,265.27618408203125,24815.458984375,0.4888888895511627,0.3626170754432678,339.0240478515625,0.8746342062950134,316.1353454589844,-435.0963439941406,0.0060408334247767925,2.945660710334778,0.9415851520725438
ragtruth_16451,1,0,0.0703198954514266,0.21771247684955597,256.9830322265625,21468.048828125,0.4866666793823242,0.3570879101753235,319.9965515136719,0.8789132237434387,288.3125915527344,-420.5465087890625,0.002035553799942136,2.7409697771072388,0.9296801045485734
ragtruth_16647,1,0,0.07441227413305006,0.22947603464126587,215.71664428710938,15725.8984375,0.445333331823349,0.3462812304496765,278.1199035644531,0.8652125597000122,246.5736083984375,-374.1078186035156,0.0020809497218579054,2.994454026222229,0.9255877258669499
ragtruth_16447,1,0,0.10483992888104159,0.22812198102474213,234.1198272705078,16427.6953125,0.49444442987442017,0.358967125415802,285.07568359375,0.8774368762969971,248.59945678710938,-403.9853515625,0.0007716086693108082,3.0944422483444214,0.8951600711189585
ragtruth_14521,1,0,0.14081075829303857,0.25541016459465027,183.99395751953125,12214.1328125,0.4645833373069763,0.3434690833091736,256.02685546875,0.8459869027137756,202.5647735595703,-404.54669189453125,0.0005644613411277533,3.2153332829475403,0.8591892417069614
ragtruth_5725,0,1,0.8585394755409634,0.2914934754371643,52.4918212890625,1387.4349365234375,0.5420289635658264,0.3650146424770355,140.41702270507812,0.5538839101791382,101.18653106689453,-443.22509765625,0.012519685551524162,2.6965433061122894,0.8585394755409634
ragtruth_7723,0,1,0.8557975457594105,0.29458728432655334,54.2718391418457,1514.3065185546875,0.5446428656578064,0.36515915393829346,143.59884643554688,0.567780077457428,96.27987670898438,-434.7120666503906,0.009216999635100365,2.649587780237198,0.8557975457594105
ragtruth_14522,1,0,0.14474029989504678,0.2535465359687805,187.93614196777344,12482.4501953125,0.47096773982048035,0.3429974317550659,258.1467590332031,0.8430109620094299,208.0642547607422,-402.6864929199219,0.0006016044062562287,3.2966291308403015,0.8552597001049532
ragtruth_6223,0,1,0.8529605122096211,0.3029452860355377,38.732452392578125,783.53173828125,0.5305458903312683,0.3524147868156433,132.99708557128906,0.5495743751525879,96.89373779296875,-393.9194641113281,0.008669902570545673,2.5419785380363464,0.8529605122096211
ragtruth_6841,0,1,0.8514204324417404,0.2935278117656708,52.53192901611328,1445.747802734375,0.5404558181762695,0.36644965410232544,140.1002655029297,0.5639814138412476,98.34114837646484,-428.7361145019531,0.005028690677136183,2.6922424137592316,0.8514204324417404
